,Intensity W21.1,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W21.1
,35.286,,,,,
,35.36,,,,,
,35.446,,,,,
,35.513,,,,,
,35.542,,,,,
,35.56,,,,,
,35.587,,,,,
,35.65,,,,,
,35.735,,,,,
,35.825,,,,,
,35.883,,,,,
,35.927,,,,,
,35.959,,,,,
,35.998,,,,,
,36.015,,,,,
,36.036,,,,,
,36.049,,,,,
,36.071,,,,,
,36.089,,,,,
,36.118,,,,,
,36.144,,,,,
,36.179,,,,,
,36.226,,,,,
,36.299,,,,,
,36.389,,,,,
,36.465,,,,,
,36.512,,,,,
,36.543,,,,,
,36.575,,,,,
,36.602,,,,,
,36.576,,,,,
,36.544,,,,,
,36.494,,,,,
,36.475,,,,,
,36.427,,,,,
,36.387,,,,,
,36.347,,,,,
,36.334,,,,,
,36.329,,,,,
,36.32,,,,,
,36.311,,,,,
,36.316,,,,,
,36.328,,,,,
,36.33,,,,,
,36.298,,,,,
,36.247,,,,,
,36.201,,,,,
,36.171,,,,,
,36.164,,,,,
,36.18,,,,,
,36.199,,,,,
,36.207,,,,,
,36.205,,,,,
,36.208,,,,,
,36.205,,,,,
,36.183,,,,,
,36.144,,,,,
,36.131,,,,,
,36.126,,,,,
,36.144,,,,,
,36.154,,,,,
,36.152,,,,,
,36.123,,,,,
,36.077,,,,,
,36.022,,,,,
,35.966,,,,,
,35.905,,,,,
,35.846,,,,,
,35.79,,,,,
,35.756,,,,,
,35.735,,,,,
,35.718,,,,,
,35.679,,,,,
,35.615,,,,,
,35.539,,,,,
,35.462,,,,,
,35.382,,,,,
,35.329,,,,,
,35.282,,,,,
,35.275,,,,,
,35.261,,,,,
,35.252,,,,,
,35.218,,,,,
,35.171,,,,,
,35.117,,,,,
,35.074,,,,,
,35.046,,,,,
,35.035,,,,,
,35.041,,,,,
,35.058,,,,,
,35.069,,,,,
,35.063,,,,,
,35.041,,,,,
,35.012,,,,,
,34.971,,,,,
,34.918,,,,,
,34.855,,,,,
,34.811,,,,,
,34.775,,,,,
,34.737,,,,,
,34.686,,,,,
,34.677,,,,,
,34.693,,,,,
,34.725,,,,,
,34.71,,,,,
,34.682,,,,,
,34.627,,,,,
,34.566,,,,,
,34.474,,,,,
,34.386,,,,,
,34.317,,,,,
,34.273,,,,,
,34.239,,,,,
,34.222,,,,,
,34.208,,,,,
,34.175,,,,,
,34.12,,,,,
,34.042,,,,,
,33.956,,,,,
,33.857,,,,,
,33.745,,,,,
,33.635,,,,,
,33.511,,,,,
,33.411,,,,,
,33.323,,,,,
,33.251,,,,,
,33.178,,,,,
,33.126,,,,,
,33.063,,,,,
,32.986,,,,,
,32.887,,,,,
,32.794,,,,,
,32.699,,,,,
,32.579,,,,,
,32.434,,,,,
,32.304,,,,,
,32.221,,,,,
,32.191,,,,,
,32.186,,,,,
,32.165,,,,,
,32.108,,,,,
,32.013,,,,,
,31.896,,,,,
,31.802,,,,,
,31.724,,,,,
,31.684,,,,,
,31.647,,,,,
,31.615,,,,,
,31.562,,,,,
,31.509,,,,,
,31.428,,,,,
,31.346,,,,,
,31.255,,,,,
,31.18,,,,,
,31.098,,,,,
,31.011,,,,,
,30.925,,,,,
,30.859,,,,,
,30.805,,,,,
,30.759,,,,,
,30.699,,,,,
,30.639,,,,,
,30.561,,,,,
,30.481,,,,,
,30.378,,,,,
,30.279,,,,,
,30.167,,,,,
,30.065,,,,,
,29.973,,,,,
,29.9,,,,,
,29.85,,,,,
,29.813,,,,,
,29.792,,,,,
,29.786,,,,,
,29.771,,,,,
,29.746,,,,,
,29.681,,,,,
,29.594,,,,,
,29.468,,,,,
,29.351,,,,,
,29.251,,,,,
,29.201,,,,,
,29.162,,,,,
,29.13,,,,,
,29.079,,,,,
,29.019,,,,,
,28.953,,,,,
,28.889,,,,,
,28.817,,,,,
,28.741,,,,,
,28.643,,,,,
,28.534,,,,,
,28.421,,,,,
,28.334,,,,,
,28.27,,,,,
,28.219,,,,,
,28.186,,,,,
,28.161,,,,,
,28.126,,,,,
,28.063,,,,,
,27.968,,,,,
,27.855,,,,,
,27.733,,,,,
,27.602,,,,,
,27.473,,,,,
,27.364,,,,,
,27.283,,,,,
,27.227,,,,,
,27.168,,,,,
,27.121,,,,,
,27.054,,,,,
,26.979,,,,,
,26.89,,,,,
,26.795,,,,,
,26.695,,,,,
,26.583,,,,,
,26.474,,,,,
,26.375,,,,,
,26.275,,,,,
,26.175,,,,,
,26.06,,,,,
,25.96,,,,,
,25.873,,,,,
,25.795,,,,,
,25.685,,,,,
,25.559,,,,,
,25.412,,,,,
,25.282,,,,,
,25.164,,,,,
,25.066,,,,,
,24.97,,,,,
,24.856,,,,,
,24.742,,,,,
,24.637,,,,,
,24.537,,,,,
,24.424,,,,,
,24.299,,,,,
,24.176,,,,,
,24.054,,,,,
,23.936,,,,,
,23.813,,,,,
,23.686,,,,,
,23.551,,,,,
,23.43,,,,,
,23.338,,,,,
,23.279,,,,,
,23.2,,,,,
,23.109,,,,,
,22.98,,,,,
,22.854,,,,,
,22.716,,,,,
,22.588,,,,,
,22.469,,,,,
,22.355,,,,,
,22.243,,,,,
,22.118,,,,,
,22,,,,,
,21.896,,,,,
,21.824,,,,,
,21.766,,,,,
,21.708,,,,,
,21.642,,,,,
,21.556,,,,,
,21.445,,,,,
,21.307,,,,,
,21.166,,,,,
,21.034,,,,,
,20.921,,,,,
,20.804,,,,,
,20.677,,,,,
,20.526,,,,,
,20.38,,,,,
,20.236,,,,,
,20.112,,,,,
,19.975,,,,,
,19.833,,,,,
,19.685,,,,,
,19.552,,,,,
,19.429,,,,,
,19.316,,,,,
,19.187,,,,,
,19.071,,,,,
,18.94,,,,,
,18.822,,,,,
,18.686,,,,,
,18.55,,,,,
,18.416,,,,,
,18.308,,,,,
,18.22,,,,,
,18.143,,,,,
,18.038,,,,,
,17.912,,,,,
,17.771,,,,,
,17.645,,,,,
,17.517,,,,,
,17.391,,,,,
,17.263,,,,,
,17.16,,,,,
,17.07,,,,,
,16.998,,,,,
,16.934,,,,,
,16.886,,,,,
,16.8,,,,,
,16.686,,,,,
,16.56,,,,,
,16.464,,,,,
,16.357,,,,,
,16.235,,,,,
,16.106,,,,,
,16.017,,,,,
,15.919,,,,,
,15.828,,,,,
,15.729,,,,,
,15.674,,,,,
,15.617,,,,,
,15.563,,,,,
,15.471,,,,,
,15.373,,,,,
,15.262,,,,,
,15.152,,,,,
,15.029,,,,,
,14.928,,,,,
,14.834,,,,,
,14.757,,,,,
,14.673,,,,,
,14.612,,,,,
,14.552,,,,,
,14.496,,,,,
,14.423,,,,,
,14.357,,,,,
,14.278,,,,,
,14.196,,,,,
,14.1,,,,,
,14.005,,,,,
,13.906,,,,,
,13.812,,,,,
,13.716,,,,,
,13.635,,,,,
,13.573,,,,,
,13.521,,,,,
,13.468,,,,,
,13.406,,,,,
,13.348,,,,,
,13.282,,,,,
,13.212,,,,,
,13.129,,,,,
,13.041,,,,,
,12.968,,,,,
,12.91,,,,,
,12.853,,,,,
,12.772,,,,,
,12.68,,,,,
,12.585,,,,,
,12.488,,,,,
,12.393,,,,,
,12.323,,,,,
,12.292,,,,,
,12.284,,,,,
,12.274,,,,,
,12.248,,,,,
,12.189,,,,,
,12.114,,,,,
,12.03,,,,,
,11.959,,,,,
,11.899,,,,,
,11.845,,,,,
,11.785,,,,,
,11.72,,,,,
,11.647,,,,,
,11.579,,,,,
,11.51,,,,,
,11.441,,,,,
,11.377,,,,,
,11.316,,,,,
,11.271,,,,,
,11.222,,,,,
,11.169,,,,,
,11.103,,,,,
,11.019,,,,,
,10.924,,,,,
,10.823,,,,,
,10.743,,,,,
,10.687,,,,,
,10.633,,,,,
,10.589,,,,,
,10.536,,,,,
,10.48,,,,,
,10.41,,,,,
,10.335,,,,,
,10.276,,,,,
,10.213,,,,,
,10.161,,,,,
,10.115,,,,,
,10.093,,,,,
,10.066,,,,,
,10.04,,,,,
,9.989,,,,,
,9.939,,,,,
,9.875,,,,,
,9.817,,,,,
,9.754,,,,,
,9.69,,,,,
,9.636,,,,,
,9.581,,,,,
,9.538,,,,,
,9.495,,,,,
,9.45,,,,,
,9.389,,,,,
,9.301,,,,,
,9.216,,,,,
,9.133,,,,,
,9.071,,,,,
,9.022,,,,,
,8.989,,,,,
,8.952,,,,,
,8.905,,,,,
,8.843,,,,,
,8.778,,,,,
,8.704,,,,,
,8.632,,,,,
,8.558,,,,,
,8.51,,,,,
,8.457,,,,,
,8.415,,,,,
,8.354,,,,,
,8.301,,,,,
,8.258,,,,,
,8.218,,,,,
,8.177,,,,,
,8.139,,,,,
,8.085,,,,,
,8.015,,,,,
,7.922,,,,,
,7.843,,,,,
,7.779,,,,,
,7.721,,,,,
,7.664,,,,,
,7.617,,,,,
,7.574,,,,,
,7.526,,,,,
,7.465,,,,,
,7.401,,,,,
,7.341,,,,,
,7.283,,,,,
,7.232,,,,,
,7.189,,,,,
,7.15,,,,,
