,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7
White 6-1,331.3413,197.8106,86.15706,-7.049829,-12.0914,-14.9449,-3.744693
White 6-2,331.9109,196.8797,86.30325,-6.389928,-11.35331,-14.34121,-3.707761
White 6-3,334.1745,199.4745,86.9678,-6.222785,-11.12493,-13.96653,-3.827965
White 7-1,328.8676,178.2423,82.54243,0.6181159,-3.449914,-4.367436,-2.801619
White 7-2,320.079,173.2328,84.51096,-1.197893,-5.475279,-4.959254,-2.856937
White 7-3,323.2345,175.3388,84.83674,-0.509008,-4.646417,-3.478346,-2.797654
White 8-1,347.0616,165.4143,-64.75596,-7.722952,-5.555521,-5.943235,-0.6207587
White 8-2,356.6429,182.9614,-65.14746,-9.56328,-7.67909,-8.197974,-0.7477939
White 8-3,360.4045,185.9173,-65.60535,-9.012975,-6.949679,-7.192655,-0.5985865
White 9-1,324.3761,145.7617,-13.85022,-2.947021,-3.789993,-13.98279,-0.4863887
White 9-2,314.8264,142.7352,-12.09831,-5.754897,-6.973047,-15.80031,-0.2523269
White 9-3,317.2152,143.6622,-12.62753,-5.085795,-6.199749,-14.92368,-0.2691788
White 10-1,339.4584,158.5337,-34.98218,-2.866413,-2.639961,-8.549175,-1.1182
White 10-2,326.8627,149.7728,-33.51049,-5.1363,-5.249478,-10.89778,-1.214116
White 10-3,329.2721,151.969,-34.0607,-4.937663,-4.885935,-10.62429,-1.14589
White 11-1,369.1935,215.4757,65.69675,2.847862,1.35915,7.7721,-0.4705064
White 11-2,370.8096,215.9273,66.6022,3.538385,2.053502,8.358023,-0.684877
White 11-3,369.5434,215.7596,65.83578,2.992279,1.65906,9.005331,-0.2507839
White 12-1,355.3338,177.6419,-23.7743,-3.063965,-2.159135,-5.034942,0.4021322
White 12-2,360.6671,181.7175,-25.43543,-2.118934,-0.9489818,-3.589881,0.6947738
White 12-3,354.7109,177.9707,-23.47267,-3.35149,-2.553851,-5.905117,0.335299
White 13-1,355.8822,163.0684,-30.46089,2.838409,4.024135,0.1576819,-1.837662
White 13-2,355.4958,164.6713,-29.47004,2.336554,3.453461,-0.4082716,-1.69619
White 13-3,353.399,165.2453,-29.15244,1.158923,2.253607,-1.11544,-1.581722
White 14-1,358.7567,189.6781,-24.26761,-4.863818,-4.589553,-12.31516,0.8403393
White 14-2,356.5766,190.4539,-22.88124,-6.004025,-5.829745,-12.93359,0.7586938
White 14-3,353.7142,185.8541,-22.43209,-5.483143,-5.461397,-12.61163,0.7564124
White 15-1,366.8884,193.3174,-33.248,-4.707349,-3.554088,-8.8528,0.8843826
White 15-2,364.6874,192.1892,-32.57928,-5.153792,-4.146644,-9.078214,0.9877076
White 15-3,364.4406,191.3854,-32.59655,-4.991704,-3.848197,-9.075767,1.079727
White 16-1,319.0609,196.5129,125.6671,-4.174367,-10.02332,-1.441425,-5.21094
White 16-2,314.4153,191.5488,125.7372,-4.70677,-10.52552,-0.6798246,-5.300135
