,Intensity W11.3,,C:\Users\Brend\Desktop\LED Spectras v2\Spectrometer Data (White 1-34.2).sp,,,W11.3
,36.923,,,,,
,36.959,,,,,
,36.977,,,,,
,36.985,,,,,
,37.01,,,,,
,37.05,,,,,
,37.1,,,,,
,37.141,,,,,
,37.179,,,,,
,37.193,,,,,
,37.205,,,,,
,37.241,,,,,
,37.29,,,,,
,37.354,,,,,
,37.381,,,,,
,37.425,,,,,
,37.442,,,,,
,37.485,,,,,
,37.522,,,,,
,37.581,,,,,
,37.633,,,,,
,37.673,,,,,
,37.706,,,,,
,37.743,,,,,
,37.766,,,,,
,37.79,,,,,
,37.814,,,,,
,37.876,,,,,
,37.947,,,,,
,38.002,,,,,
,38.038,,,,,
,38.074,,,,,
,38.112,,,,,
,38.162,,,,,
,38.225,,,,,
,38.295,,,,,
,38.323,,,,,
,38.342,,,,,
,38.361,,,,,
,38.398,,,,,
,38.408,,,,,
,38.408,,,,,
,38.403,,,,,
,38.42,,,,,
,38.444,,,,,
,38.471,,,,,
,38.483,,,,,
,38.506,,,,,
,38.548,,,,,
,38.636,,,,,
,38.727,,,,,
,38.815,,,,,
,38.878,,,,,
,38.938,,,,,
,38.983,,,,,
,39.006,,,,,
,38.955,,,,,
,38.908,,,,,
,38.861,,,,,
,38.856,,,,,
,38.809,,,,,
,38.753,,,,,
,38.695,,,,,
,38.662,,,,,
,38.641,,,,,
,38.623,,,,,
,38.615,,,,,
,38.621,,,,,
,38.639,,,,,
,38.653,,,,,
,38.628,,,,,
,38.581,,,,,
,38.527,,,,,
,38.468,,,,,
,38.426,,,,,
,38.415,,,,,
,38.441,,,,,
,38.487,,,,,
,38.538,,,,,
,38.594,,,,,
,38.621,,,,,
,38.596,,,,,
,38.534,,,,,
,38.489,,,,,
,38.456,,,,,
,38.449,,,,,
,38.436,,,,,
,38.419,,,,,
,38.373,,,,,
,38.318,,,,,
,38.266,,,,,
,38.23,,,,,
,38.185,,,,,
,38.141,,,,,
,38.091,,,,,
,38.055,,,,,
,38.021,,,,,
,37.989,,,,,
,37.948,,,,,
,37.895,,,,,
,37.833,,,,,
,37.762,,,,,
,37.678,,,,,
,37.614,,,,,
,37.558,,,,,
,37.543,,,,,
,37.534,,,,,
,37.54,,,,,
,37.519,,,,,
,37.464,,,,,
,37.387,,,,,
,37.322,,,,,
,37.267,,,,,
,37.214,,,,,
,37.175,,,,,
,37.178,,,,,
,37.19,,,,,
,37.199,,,,,
,37.175,,,,,
,37.149,,,,,
,37.103,,,,,
,37.048,,,,,
,36.973,,,,,
,36.907,,,,,
,36.844,,,,,
,36.788,,,,,
,36.734,,,,,
,36.713,,,,,
,36.713,,,,,
,36.723,,,,,
,36.696,,,,,
,36.655,,,,,
,36.589,,,,,
,36.502,,,,,
,36.388,,,,,
,36.287,,,,,
,36.221,,,,,
,36.174,,,,,
,36.142,,,,,
,36.133,,,,,
,36.117,,,,,
,36.075,,,,,
,36.006,,,,,
,35.939,,,,,
,35.867,,,,,
,35.787,,,,,
,35.677,,,,,
,35.568,,,,,
,35.432,,,,,
,35.33,,,,,
,35.233,,,,,
,35.161,,,,,
,35.083,,,,,
,35.021,,,,,
,34.949,,,,,
,34.88,,,,,
,34.808,,,,,
,34.756,,,,,
,34.698,,,,,
,34.598,,,,,
,34.459,,,,,
,34.309,,,,,
,34.195,,,,,
,34.131,,,,,
,34.107,,,,,
,34.079,,,,,
,34.016,,,,,
,33.917,,,,,
,33.816,,,,,
,33.732,,,,,
,33.653,,,,,
,33.594,,,,,
,33.544,,,,,
,33.493,,,,,
,33.426,,,,,
,33.362,,,,,
,33.292,,,,,
,33.218,,,,,
,33.111,,,,,
,33.012,,,,,
,32.902,,,,,
,32.827,,,,,
,32.776,,,,,
,32.749,,,,,
,32.692,,,,,
,32.61,,,,,
,32.511,,,,,
,32.438,,,,,
,32.369,,,,,
,32.306,,,,,
,32.204,,,,,
,32.097,,,,,
,31.963,,,,,
,31.856,,,,,
,31.749,,,,,
,31.666,,,,,
,31.582,,,,,
,31.517,,,,,
,31.47,,,,,
,31.443,,,,,
,31.41,,,,,
,31.372,,,,,
,31.304,,,,,
,31.215,,,,,
,31.096,,,,,
,30.977,,,,,
,30.864,,,,,
,30.792,,,,,
,30.732,,,,,
,30.686,,,,,
,30.627,,,,,
,30.572,,,,,
,30.512,,,,,
,30.453,,,,,
,30.392,,,,,
,30.335,,,,,
,30.237,,,,,
,30.105,,,,,
,29.951,,,,,
,29.831,,,,,
,29.742,,,,,
,29.686,,,,,
,29.644,,,,,
,29.608,,,,,
,29.558,,,,,
,29.489,,,,,
,29.397,,,,,
,29.282,,,,,
,29.154,,,,,
,29.012,,,,,
,28.863,,,,,
,28.734,,,,,
,28.63,,,,,
,28.559,,,,,
,28.497,,,,,
,28.455,,,,,
,28.396,,,,,
,28.324,,,,,
,28.238,,,,,
,28.147,,,,,
,28.037,,,,,
,27.909,,,,,
,27.786,,,,,
,27.689,,,,,
,27.596,,,,,
,27.5,,,,,
,27.386,,,,,
,27.29,,,,,
,27.209,,,,,
,27.135,,,,,
,27.032,,,,,
,26.915,,,,,
,26.773,,,,,
,26.621,,,,,
,26.46,,,,,
,26.313,,,,,
,26.19,,,,,
,26.069,,,,,
,25.959,,,,,
,25.854,,,,,
,25.747,,,,,
,25.619,,,,,
,25.492,,,,,
,25.378,,,,,
,25.271,,,,,
,25.154,,,,,
,25.035,,,,,
,24.899,,,,,
,24.743,,,,,
,24.595,,,,,
,24.479,,,,,
,24.401,,,,,
,24.301,,,,,
,24.209,,,,,
,24.091,,,,,
,23.989,,,,,
,23.87,,,,,
,23.765,,,,,
,23.66,,,,,
,23.558,,,,,
,23.438,,,,,
,23.289,,,,,
,23.154,,,,,
,23.032,,,,,
,22.943,,,,,
,22.873,,,,,
,22.822,,,,,
,22.78,,,,,
,22.716,,,,,
,22.623,,,,,
,22.499,,,,,
,22.364,,,,,
,22.217,,,,,
,22.076,,,,,
,21.915,,,,,
,21.759,,,,,
,21.587,,,,,
,21.426,,,,,
,21.276,,,,,
,21.15,,,,,
,21.017,,,,,
,20.871,,,,,
,20.72,,,,,
,20.588,,,,,
,20.463,,,,,
,20.335,,,,,
,20.173,,,,,
,20.014,,,,,
,19.859,,,,,
,19.732,,,,,
,19.601,,,,,
,19.464,,,,,
,19.324,,,,,
,19.206,,,,,
,19.114,,,,,
,19.031,,,,,
,18.919,,,,,
,18.786,,,,,
,18.648,,,,,
,18.519,,,,,
,18.375,,,,,
,18.229,,,,,
,18.089,,,,,
,17.983,,,,,
,17.896,,,,,
,17.826,,,,,
,17.77,,,,,
,17.73,,,,,
,17.651,,,,,
,17.543,,,,,
,17.414,,,,,
,17.314,,,,,
,17.191,,,,,
,17.059,,,,,
,16.918,,,,,
,16.823,,,,,
,16.719,,,,,
,16.627,,,,,
,16.517,,,,,
,16.456,,,,,
,16.398,,,,,
,16.362,,,,,
,16.284,,,,,
,16.198,,,,,
,16.083,,,,,
,15.967,,,,,
,15.834,,,,,
,15.734,,,,,
,15.63,,,,,
,15.534,,,,,
,15.418,,,,,
,15.336,,,,,
,15.259,,,,,
,15.192,,,,,
,15.109,,,,,
,15.043,,,,,
,14.969,,,,,
,14.896,,,,,
,14.815,,,,,
,14.734,,,,,
,14.657,,,,,
,14.572,,,,,
,14.463,,,,,
,14.362,,,,,
,14.275,,,,,
,14.215,,,,,
,14.146,,,,,
,14.075,,,,,
,14.003,,,,,
,13.937,,,,,
,13.869,,,,,
,13.8,,,,,
,13.715,,,,,
,13.638,,,,,
,13.565,,,,,
,13.499,,,,,
,13.407,,,,,
,13.313,,,,,
,13.22,,,,,
,13.125,,,,,
,13.027,,,,,
,12.941,,,,,
,12.89,,,,,
,12.863,,,,,
,12.847,,,,,
,12.822,,,,,
,12.767,,,,,
,12.693,,,,,
,12.599,,,,,
,12.508,,,,,
,12.421,,,,,
,12.348,,,,,
,12.285,,,,,
,12.215,,,,,
,12.136,,,,,
,12.063,,,,,
,11.991,,,,,
,11.924,,,,,
,11.863,,,,,
,11.808,,,,,
,11.759,,,,,
,11.704,,,,,
,11.654,,,,,
,11.602,,,,,
,11.52,,,,,
,11.426,,,,,
,11.325,,,,,
,11.258,,,,,
,11.212,,,,,
,11.163,,,,,
,11.12,,,,,
,11.061,,,,,
,11.002,,,,,
,10.911,,,,,
,10.823,,,,,
,10.75,,,,,
,10.676,,,,,
,10.613,,,,,
,10.556,,,,,
,10.537,,,,,
,10.509,,,,,
,10.483,,,,,
,10.424,,,,,
,10.374,,,,,
,10.313,,,,,
,10.268,,,,,
,10.205,,,,,
,10.131,,,,,
,10.066,,,,,
,10.01,,,,,
,9.979,,,,,
,9.945,,,,,
,9.908,,,,,
,9.849,,,,,
,9.762,,,,,
,9.672,,,,,
,9.582,,,,,
,9.518,,,,,
,9.475,,,,,
,9.451,,,,,
,9.417,,,,,
,9.359,,,,,
,9.281,,,,,
,9.204,,,,,
,9.122,,,,,
,9.043,,,,,
,8.964,,,,,
,8.915,,,,,
,8.856,,,,,
,8.804,,,,,
,8.741,,,,,
,8.695,,,,,
,8.658,,,,,
,8.618,,,,,
,8.577,,,,,
,8.547,,,,,
,8.502,,,,,
,8.431,,,,,
,8.332,,,,,
,8.247,,,,,
,8.186,,,,,
,8.144,,,,,
,8.103,,,,,
,8.065,,,,,
,8.008,,,,,
,7.947,,,,,
,7.881,,,,,
,7.82,,,,,
,7.759,,,,,
,7.694,,,,,
,7.63,,,,,
,7.579,,,,,
,7.534,,,,,
,7.49,,,,,
,7.422,,,,,
,7.346,,,,,
,7.268,,,,,
,7.197,,,,,
,7.135,,,,,
,7.084,,,,,
,7.036,,,,,
,6.99,,,,,
,6.94,,,,,
,6.903,,,,,
,6.864,,,,,
,6.828,,,,,
,6.791,,,,,
,6.765,,,,,
,6.728,,,,,
,6.672,,,,,
,6.61,,,,,
,6.555,,,,,
,6.503,,,,,
,6.461,,,,,
,6.418,,,,,
,6.382,,,,,
,6.335,,,,,
,6.297,,,,,
,6.265,,,,,
,6.235,,,,,
,6.207,,,,,
,6.176,,,,,
,6.141,,,,,
,6.099,,,,,
,6.015,,,,,
,5.928,,,,,
,5.843,,,,,
,5.799,,,,,
,5.763,,,,,
,5.741,,,,,
,5.709,,,,,
,5.677,,,,,
,5.629,,,,,
,5.606,,,,,
,5.574,,,,,
,5.548,,,,,
,5.513,,,,,
,5.486,,,,,
,5.47,,,,,
,5.448,,,,,
,5.429,,,,,
,5.409,,,,,
,5.407,,,,,
,5.42,,,,,
,5.365,,,,,
,5.29,,,,,
,5.196,,,,,
,5.162,,,,,
,5.148,,,,,
,5.174,,,,,
,5.213,,,,,
,5.153,,,,,
,5.047,,,,,
,4.929,,,,,
,4.898,,,,,
,4.878,,,,,
,4.86,,,,,
,4.842,,,,,
,4.797,,,,,
,4.744,,,,,
,4.689,,,,,
,4.66,,,,,
,4.622,,,,,
,4.57,,,,,
,4.506,,,,,
,4.451,,,,,
,4.42,,,,,
,4.399,,,,,
,4.39,,,,,
,4.389,,,,,
,4.386,,,,,
,4.365,,,,,
,4.315,,,,,
,4.272,,,,,
,4.25,,,,,
,4.235,,,,,
,4.219,,,,,
,4.204,,,,,
,4.191,,,,,
,4.163,,,,,
,4.112,,,,,
,4.055,,,,,
,4.025,,,,,
,4.024,,,,,
,4.025,,,,,
,4.007,,,,,
,3.979,,,,,
,3.962,,,,,
,3.956,,,,,
,3.941,,,,,
,3.92,,,,,
,3.872,,,,,
,3.82,,,,,
,3.758,,,,,
,3.716,,,,,
,3.69,,,,,
,3.684,,,,,
,3.69,,,,,
,3.677,,,,,
,3.648,,,,,
,3.605,,,,,
,3.565,,,,,
,3.54,,,,,
,3.528,,,,,
,3.522,,,,,
,3.5,,,,,
,3.46,,,,,
,3.427,,,,,
,3.41,,,,,
,3.403,,,,,
,3.396,,,,,
,3.394,,,,,
,3.389,,,,,
,3.368,,,,,
,3.334,,,,,
,3.304,,,,,
,3.275,,,,,
,3.244,,,,,
,3.217,,,,,
,3.21,,,,,
,3.216,,,,,
,3.22,,,,,
,3.202,,,,,
,3.164,,,,,
,3.124,,,,,
,3.104,,,,,
,3.104,,,,,
,3.116,,,,,
,3.125,,,,,
,3.107,,,,,
,3.067,,,,,
,3.022,,,,,
,2.986,,,,,
,2.958,,,,,
,2.945,,,,,
,2.938,,,,,
,2.924,,,,,
,2.894,,,,,
,2.87,,,,,
,2.865,,,,,
,2.862,,,,,
,2.841,,,,,
,2.814,,,,,
,2.793,,,,,
,2.775,,,,,
,2.758,,,,,
,2.741,,,,,
,2.738,,,,,
,2.732,,,,,
,2.723,,,,,
,2.717,,,,,
,2.718,,,,,
,2.711,,,,,
,2.689,,,,,
,2.66,,,,,
,2.643,,,,,
,2.63,,,,,
,2.61,,,,,
,2.576,,,,,
,2.554,,,,,
,2.542,,,,,
,2.535,,,,,
,2.523,,,,,
,2.531,,,,,
,2.548,,,,,
,2.543,,,,,
,2.511,,,,,
,2.476,,,,,
,2.457,,,,,
,2.454,,,,,
,2.46,,,,,
,2.473,,,,,
,2.46,,,,,
,2.441,,,,,
,2.426,,,,,
,2.427,,,,,
,2.425,,,,,
,2.414,,,,,
,2.401,,,,,
,2.392,,,,,
,2.363,,,,,
,2.331,,,,,
,2.295,,,,,
,2.263,,,,,
,2.228,,,,,
,2.183,,,,,
,2.15,,,,,
,2.14,,,,,
,2.141,,,,,
,2.139,,,,,
,2.116,,,,,
,2.074,,,,,
,2.036,,,,,
,2.005,,,,,
,1.989,,,,,
,1.967,,,,,
,1.958,,,,,
,1.938,,,,,
,1.936,,,,,
,1.938,,,,,
,1.954,,,,,
,1.964,,,,,
,1.967,,,,,
,1.964,,,,,
,1.958,,,,,
,1.949,,,,,
,1.949,,,,,
,1.954,,,,,
,1.971,,,,,
,1.973,,,,,
,1.962,,,,,
,1.937,,,,,
,1.914,,,,,
,1.889,,,,,
,1.868,,,,,
,1.858,,,,,
,1.854,,,,,
,1.84,,,,,
,1.817,,,,,
,1.803,,,,,
,1.801,,,,,
,1.805,,,,,
,1.79,,,,,
,1.763,,,,,
,1.745,,,,,
,1.748,,,,,
,1.763,,,,,
,1.775,,,,,
,1.775,,,,,
,1.769,,,,,
,1.745,,,,,
,1.725,,,,,
,1.713,,,,,
,1.721,,,,,
,1.739,,,,,
,1.747,,,,,
,1.749,,,,,
,1.746,,,,,
,1.739,,,,,
,1.734,,,,,
,1.72,,,,,
,1.703,,,,,
,1.685,,,,,
,1.686,,,,,
,1.688,,,,,
,1.685,,,,,
,1.675,,,,,
,1.685,,,,,
,1.704,,,,,
,1.703,,,,,
,1.677,,,,,
,1.65,,,,,
,1.646,,,,,
,1.659,,,,,
,1.666,,,,,
,1.672,,,,,
,1.666,,,,,
,1.663,,,,,
,1.65,,,,,
,1.652,,,,,
,1.654,,,,,
,1.67,,,,,
,1.692,,,,,
,1.708,,,,,
,1.707,,,,,
,1.7,,,,,
,1.685,,,,,
,1.67,,,,,
,1.642,,,,,
,1.634,,,,,
,1.635,,,,,
,1.638,,,,,
,1.64,,,,,
,1.643,,,,,
,1.653,,,,,
,1.661,,,,,
,1.663,,,,,
,1.649,,,,,
,1.63,,,,,
,1.615,,,,,
,1.61,,,,,
,1.613,,,,,
,1.615,,,,,
,1.625,,,,,
,1.633,,,,,
,1.635,,,,,
,1.626,,,,,
,1.628,,,,,
,1.632,,,,,
,1.634,,,,,
,1.616,,,,,
,1.613,,,,,
,1.622,,,,,
,1.639,,,,,
,1.635,,,,,
,1.615,,,,,
,1.595,,,,,
,1.581,,,,,
,1.58,,,,,
,1.584,,,,,
,1.594,,,,,
,1.597,,,,,
,1.594,,,,,
,1.589,,,,,
,1.589,,,,,
,1.597,,,,,
,1.614,,,,,
,1.623,,,,,
,1.622,,,,,
,1.609,,,,,
